id,platform,title,url,difficulty,rating,topics,patterns,companies,level,status
codeforces-2230B-digit-string,codeforces,"Digit String",https://codeforces.com/problemset/problem/2230/B,1000,1000,greedy;implementation;math,greedy,,newbie,unseen
codeforces-2217B-flip-the-bit-easy-version,codeforces,"Flip the Bit (Easy Version)",https://codeforces.com/problemset/problem/2217/B,1000,1000,greedy;implementation,greedy,,newbie,unseen
codeforces-2204C-spring,codeforces,"Spring",https://codeforces.com/problemset/problem/2204/C,1000,1000,math;number-theory,math;number theory,,newbie,unseen
codeforces-2203B-beautiful-numbers,codeforces,"Beautiful Numbers",https://codeforces.com/problemset/problem/2203/B,1000,1000,bitmasks;dp;fft;greedy;math,dynamic programming,,newbie,unseen
codeforces-2199A-game,codeforces,"Game",https://codeforces.com/problemset/problem/2199/A,1000,1000,*special,*special,,newbie,unseen
codeforces-2194B-offshores,codeforces,"Offshores",https://codeforces.com/problemset/problem/2194/B,1000,1000,greedy;implementation;math,greedy,,newbie,unseen
codeforces-2193C-replace-and-sum,codeforces,"Replace and Sum",https://codeforces.com/problemset/problem/2193/C,1000,1000,data-structures;greedy,greedy,,newbie,unseen
codeforces-2192B-flipping-binary-string,codeforces,"Flipping Binary String",https://codeforces.com/problemset/problem/2192/B,1000,1000,constructive-algorithms;strings,constructive algorithms;strings,,newbie,unseen
codeforces-2191B-mex-reordering,codeforces,"MEX Reordering",https://codeforces.com/problemset/problem/2191/B,1000,1000,constructive-algorithms;sortings,constructive algorithms;sortings,,newbie,unseen
codeforces-2188B-seats,codeforces,"Seats",https://codeforces.com/problemset/problem/2188/B,1000,1000,greedy,greedy,,newbie,unseen
codeforces-2176B-optimal-shifts,codeforces,"Optimal Shifts",https://codeforces.com/problemset/problem/2176/B,1000,1000,bitmasks;greedy;strings,greedy,,newbie,unseen
codeforces-2167D-yet-another-array-problem,codeforces,"Yet Another Array Problem",https://codeforces.com/problemset/problem/2167/D,1000,1000,brute-force;implementation;math;number-theory,brute force;implementation,,newbie,unseen
codeforces-2164B-even-modulo-pair,codeforces,"Even Modulo Pair",https://codeforces.com/problemset/problem/2164/B,1000,1000,brute-force;math;number-theory,brute force;math,,newbie,unseen
