id,platform,title,url,difficulty,rating,topics,patterns,companies,level,status
codeforces-2234E-vlad-misha-and-two-arrays,codeforces,"Vlad, Misha and Two Arrays",https://codeforces.com/problemset/problem/2234/E,2100,2100,brute-force;combinatorics;dfs-and-similar;divide-and-conquer;dp;math,dynamic programming,,candidate-master,unseen
codeforces-2230E-minimum-influence,codeforces,"Minimum Influence",https://codeforces.com/problemset/problem/2230/E,2100,2100,binary-search;data-structures;greedy;implementation;math;sortings;two-pointers,binary search,,candidate-master,unseen
codeforces-2229E-deconstruction-tree,codeforces,"Deconstruction Tree",https://codeforces.com/problemset/problem/2229/E,2100,2100,combinatorics;data-structures;dp;graphs;trees,dynamic programming,,candidate-master,unseen
codeforces-2227H-fallen-leaves,codeforces,"Fallen Leaves",https://codeforces.com/problemset/problem/2227/H,2100,2100,dfs-and-similar;dp;trees,dynamic programming,,candidate-master,unseen
codeforces-2210D-a-simple-rbs-problem,codeforces,"A Simple RBS Problem",https://codeforces.com/problemset/problem/2210/D,2100,2100,constructive-algorithms;math;strings;trees,constructive algorithms;math,,candidate-master,unseen
codeforces-2210C2-a-simple-gcd-problem-hard-version,codeforces,"A Simple GCD Problem (Hard Version)",https://codeforces.com/problemset/problem/2210/C2,2100,2100,dp;greedy;number-theory,dynamic programming,,candidate-master,unseen
codeforces-2207E1-n-mex-constructive-version,codeforces,"N-MEX (Constructive Version)",https://codeforces.com/problemset/problem/2207/E1,2100,2100,constructive-algorithms;greedy,greedy,,candidate-master,unseen
codeforces-2205E-simons-and-dividing-the-rhythm,codeforces,"Simons and Dividing the Rhythm",https://codeforces.com/problemset/problem/2205/E,2100,2100,combinatorics;data-structures;dp;dsu;math;string-suffix-structures;strings,dynamic programming,,candidate-master,unseen
codeforces-2199E-supersequence,codeforces,"Supersequence",https://codeforces.com/problemset/problem/2199/E,2100,2100,*special;binary-search;greedy,binary search,,candidate-master,unseen
codeforces-2193G-paths-in-a-tree,codeforces,"Paths in a Tree",https://codeforces.com/problemset/problem/2193/G,2100,2100,dfs-and-similar;interactive;sortings;trees,graphs,,candidate-master,unseen
