id,platform,title,url,difficulty,rating,topics,patterns,companies,level,status
codeforces-2228C2-cirno-and-number-hard-version,codeforces,"Cirno and Number (Hard Version)",https://codeforces.com/problemset/problem/2228/C2,1600,1600,binary-search;dfs-and-similar;dp;greedy;implementation,dynamic programming,,expert,unseen
codeforces-2223B-zhily-and-barknights,codeforces,"Zhily and Barknights",https://codeforces.com/problemset/problem/2223/B,1600,1600,binary-search;data-structures;dp;math;sortings;two-pointers,dynamic programming,,expert,unseen
codeforces-2207C-where-s-my-water,codeforces,"Where's My Water?",https://codeforces.com/problemset/problem/2207/C,1600,1600,data-structures;divide-and-conquer;dp;math,dynamic programming,,expert,unseen
codeforces-2207B-one-night-at-freddy-s,codeforces,"One Night At Freddy's",https://codeforces.com/problemset/problem/2207/B,1600,1600,games;greedy;sortings,greedy,,expert,unseen
codeforces-2199C-minesweeper,codeforces,"Minesweeper",https://codeforces.com/problemset/problem/2199/C,1600,1600,*special;constructive-algorithms;greedy,greedy,,expert,unseen
codeforces-2196B-another-problem-about-beautiful-pairs,codeforces,"Another Problem about Beautiful Pairs",https://codeforces.com/problemset/problem/2196/B,1600,1600,brute-force;math;two-pointers,brute force;math,,expert,unseen
codeforces-2194D-table-cut,codeforces,"Table Cut",https://codeforces.com/problemset/problem/2194/D,1600,1600,constructive-algorithms;greedy;implementation,greedy,,expert,unseen
codeforces-2193F-pizza-delivery,codeforces,"Pizza Delivery",https://codeforces.com/problemset/problem/2193/F,1600,1600,dp;greedy,dynamic programming,,expert,unseen
codeforces-2184D-unfair-game,codeforces,"Unfair Game",https://codeforces.com/problemset/problem/2184/D,1600,1600,combinatorics;dp;math,dynamic programming,,expert,unseen
codeforces-2182D-christmas-tree-decoration,codeforces,"Christmas Tree Decoration",https://codeforces.com/problemset/problem/2182/D,1600,1600,combinatorics;dp;greedy;math,dynamic programming,,expert,unseen
codeforces-2181F-fragmented-nim,codeforces,"Fragmented Nim",https://codeforces.com/problemset/problem/2181/F,1600,1600,games,games,,expert,unseen
codeforces-2172F-cluster-computing-system,codeforces,"Cluster Computing System",https://codeforces.com/problemset/problem/2172/F,1600,1600,graphs;greedy;math,graphs,,expert,unseen
